,funded_amnt_inv,int_rate,installment,total_pymnt,total_pymnt_inv,total_rec_int,total_rec_late_fee,last_pymnt_amnt,open_rv_12m,inq_last_12m,mths_since_recent_inq,sub_grade_num,target
0,10000.0,20.89,376.19,1234.97,1234.97,317.06,0.0,376.19,5.0,1.0,4.0,17,0
1,7000.0,10.33,226.96,447.89,447.89,113.05,0.0,226.96,1.0,0.0,7.103783700980392,30,0
2,23000.0,11.31,756.38,741.93,741.93,202.32,0.0,763.61,0.0,7.0,8.0,28,0
3,4000.0,7.02,123.55,244.76,244.76,43.87,0.0,123.55,0.0,0.0,19.0,34,0
4,24000.0,16.14,585.43,563.91,563.91,301.28,0.0,596.19,3.0,1.0,8.0,22,0
5,8000.0,8.81,253.7,501.53,501.53,110.17,0.0,253.7,0.0,0.0,7.103783700980392,31,0
6,12000.0,11.31,394.63,777.95,777.95,212.24,0.0,394.63,5.0,9.0,2.0,28,0
7,10000.0,18.94,366.26,716.74,716.74,296.6,0.0,366.26,0.0,0.0,7.103783700980392,19,0
8,23000.0,11.31,756.38,23406.784222875,23406.78,406.78,0.0,22672.08,3.0,1.0,2.0,28,0
9,35100.0,10.72,1153.45,2275.3,2257.61,592.95,0.0,1153.45,2.0,4.0,0.0,29,0
10,21775.0,10.33,466.2,913.66,913.66,353.75,0.0,466.2,0.0,3.0,0.0,30,0
11,16000.0,13.56,543.43,1003.99,1003.99,274.63,0.0,478.64,0.0,0.0,14.0,25,0
12,5000.0,20.89,188.1,367.5,367.5,163.62,0.0,188.1,1.0,0.0,13.0,17,0
13,6000.0,8.81,190.27,376.14,376.14,82.63,0.0,190.27,0.0,2.0,1.0,31,0
14,34925.0,10.33,1132.36,2234.66,2234.66,564.07,0.0,1132.36,0.0,3.0,11.0,30,0
15,12000.0,13.56,407.58,801.6,801.6,254.57,0.0,407.58,0.0,0.0,14.0,25,0
16,20000.0,10.33,428.2,839.18,839.18,324.91,0.0,428.2,2.0,0.0,7.103783700980392,30,0
17,5000.0,6.46,153.16,303.63,303.63,50.46,0.0,153.16,0.0,0.0,7.103783700980392,35,0
18,10500.0,8.19,329.96,640.82,640.82,122.46,0.0,329.96,7.0,4.0,5.0,32,0
19,6000.0,7.02,185.32,364.79,364.79,63.47,0.0,185.32,2.0,0.0,19.0,34,0
20,5000.0,11.8,165.6,178.72,178.72,62.28,0.0,186.91,0.0,3.0,2.0,27,0
21,12000.0,16.91,297.66,567.14,567.14,308.21,0.0,297.66,0.0,1.0,10.0,21,0
22,20000.0,10.72,652.13,1286.39,1286.39,335.23,0.0,652.13,0.0,1.0,10.0,29,0
23,25000.0,11.8,553.59,1066.21,1066.21,447.67,0.0,553.59,1.0,0.0,7.103783700980392,27,0
24,10000.0,11.8,331.19,645.99,645.99,177.99,0.0,331.19,0.0,1.0,11.0,27,0
25,40000.0,20.89,1079.67,2043.28,2043.28,1269.93,0.0,1079.67,6.0,3.0,0.0,17,0
26,25000.0,10.72,540.08,1042.94,1042.94,406.62,0.0,540.08,5.0,4.0,5.0,29,0
27,8000.0,11.8,264.96,516.81,516.81,142.39,0.0,264.96,0.0,1.0,7.0,27,0
28,6000.0,15.02,208.06,403.6,403.6,136.02,0.0,208.06,1.0,13.0,3.0,23,0
29,40000.0,6.46,1225.24,2414.59,2414.59,389.34,0.0,1225.24,0.0,0.0,7.103783700980392,35,0
30,10000.0,11.8,331.19,645.99,645.99,177.99,0.0,331.19,4.0,1.0,11.0,27,0
31,1000.0,16.14,35.23,68.22,68.22,24.37,0.0,35.23,0.0,2.0,7.0,22,0
32,10400.0,17.97,263.93,501.9,501.9,283.9,0.0,263.93,2.0,1.0,3.0,20,0
33,32000.0,10.72,1043.41,2039.18,2039.18,518.0,0.0,1043.41,0.0,0.0,7.103783700980392,29,0
34,13500.0,8.19,274.97,534.58,534.58,167.67,0.0,274.97,0.0,4.0,9.0,32,0
35,2500.0,11.31,82.22,160.51,160.51,42.64,0.0,82.22,0.0,0.0,14.0,28,0
36,5600.0,8.81,177.59,348.33,348.33,74.37,0.0,177.59,1.0,0.0,13.0,31,0
37,15000.0,11.31,493.29,967.73,967.73,260.58,0.0,493.29,2.0,0.0,16.0,28,0
38,40000.0,6.46,1225.24,2421.77,2421.77,396.52,0.0,1225.24,0.0,2.0,5.0,35,0
39,25000.0,11.31,822.15,861.42,861.42,274.89,0.0,892.84,2.0,0.0,18.0,28,0
40,6000.0,10.72,195.64,384.13,384.13,98.78,0.0,195.64,2.0,5.0,4.0,29,0
41,25000.0,8.19,509.19,944.45,944.45,265.0,0.0,509.19,0.0,0.0,7.103783700980392,32,0
42,12000.0,16.14,292.72,574.68,574.68,310.27,0.0,292.72,0.0,0.0,13.0,22,0
43,30000.0,6.46,918.93,1827.09,1827.09,308.15,0.0,918.93,1.0,0.0,18.0,35,0
44,11500.0,13.56,264.97,521.28,521.28,249.87,0.0,264.97,1.0,1.0,5.0,25,0
45,20000.0,7.02,617.73,1219.86,1219.86,215.47,0.0,617.73,0.0,1.0,7.0,34,0
46,35000.0,11.31,766.41,1488.84,1488.84,611.66,0.0,766.41,0.0,10.0,6.0,28,0
47,15000.0,18.94,388.62,404.4,404.4,252.53,0.0,435.97,3.0,4.0,2.0,19,0
48,11000.0,10.72,358.67,704.24,704.24,181.11,0.0,358.67,1.0,1.0,1.0,29,0
49,22500.0,8.19,458.27,896.06,896.06,284.57,0.0,458.27,1.0,3.0,10.0,32,0
50,12000.0,12.98,272.92,537.19,537.19,249.4,0.0,272.92,1.0,0.0,17.0,26,0
51,20325.0,22.35,565.41,1105.58,1105.58,728.39,0.0,565.41,0.0,1.0,9.0,16,0
52,32000.0,10.72,691.3,1363.54,1363.54,549.05,0.0,691.3,3.0,1.0,7.0,29,0
53,30000.0,8.19,942.73,983.68,983.68,245.7,0.0,997.33,3.0,0.0,19.0,32,0
54,12000.0,13.56,276.49,539.42,539.42,256.05,0.0,276.49,1.0,1.0,12.0,25,0
55,25000.0,16.14,609.82,1186.02,1186.02,635.2,0.0,609.82,2.0,2.0,8.0,22,0
56,10000.0,10.33,324.23,639.85,639.85,161.51,0.0,324.23,0.0,0.0,7.103783700980392,30,0
57,21000.0,8.19,427.72,841.11,841.11,270.38,0.0,427.72,0.0,1.0,5.0,32,0
58,7000.0,11.31,230.21,453.82,453.82,123.8,0.0,230.21,1.0,4.0,6.0,28,0
59,9500.0,26.31,384.34,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,12,0
60,6400.0,26.31,258.92,503.81,503.81,264.01,0.0,258.92,0.0,2.0,3.0,12,0
